"전철역명","호선","gu","dong","x","y"
"충정로역","05호선","서대문구","충현동","126.964493206988","37.5597623875712"
"충정로역","05호선","서대문구","충현동","126.964493206988","37.5597623875712"
"서대문역","05호선","서대문구","충현동","126.966636426216","37.5657528373011"
"광화문역","05호선","종로구","사직동","126.976423148119","37.5716477085545"
"종로3가역","05호선","종로구","종로1.2.3.4가동","126.992153252476","37.570420844523"
"종로3가역","05호선","종로구","종로1.2.3.4가동","126.992153252476","37.570420844523"
"종로3가역","05호선","종로구","종로1.2.3.4가동","126.992153252476","37.570420844523"
"을지로4가역","05호선","중구","을지로동","126.997632059113","37.5666405038268"
"을지로4가역","05호선","중구","을지로동","126.997632059113","37.5666405038268"
"동대문역사문화공원","05호선","중구","광희동","127.009005301929","37.5656635044556"
"동대문역사문화공원","05호선","중구","광희동","127.009005301929","37.5656635044556"
"동대문역사문화공원","05호선","중구","광희동","127.009005301929","37.5656635044556"
"청구역","05호선","중구","동화동","127.013943845279","37.5602101936978"
"청구역","05호선","중구","동화동","127.013943845279","37.5602101936978"
"신금호역","05호선","성동구","금호1가동","127.020493165536","37.5544752914945"
"행당역","05호선","성동구","행당2동","127.029511840513","37.5573637818732"
"대림역","07호선","구로구","구로4동","126.894931036051","37.4933099444417"
"대림역","07호선","구로구","구로4동","126.894931036051","37.4933099444417"
"왕십리역","05호선","성동구","행당1동","127.03710337610202","37.561268363317176"
"왕십리역","05호선","성동구","행당1동","127.03710337610202","37.561268363317176"
"마장역","05호선","성동구","마장동","127.042984855663","37.5661389565959"
"답십리역","05호선","동대문구","답십리1동","127.05256127651293","37.56697480965114"
"장한평역","05호선","성동구","용답동","127.063703730302","37.5616029900695"
"군자역","05호선","광진구","능동","127.079512877207","37.5571496853206"
"군자역","05호선","광진구","능동","127.079512877207","37.5571496853206"
"아차산역","05호선","광진구","구의2동","127.089566085085","37.5522482688631"
"광나루역","05호선","광진구","광장동","127.103521464507","37.5452991715677"
"천호역","05호선","강동구","천호2동","127.12392845044","37.5385112120297"
"천호역","05호선","강동구","천호2동","127.12392845044","37.5385112120297"
