"행정구","행정동","20~24세","25~29세","30~34세","35~39세","청년인구","사업체수","종사자수","혼인","대학 수","교통밀접도","완전월세액","행정동코드"
"동대문구","제기동",2060,2355,1649,1619,7683,4632,13499,113,0,28,782.774702380952,1106082
"동대문구","전농1동",2155,2525,2119,2271,9070,2262,7802,128,0,30,976.807670454545,1106083
"동대문구","전농2동",1165,1216,1048,1253,4682,920,4853,65,0,13,837.250595238095,1106084
"동대문구","답십리2동",1656,2181,2207,2279,8323,2187,7544,164,0,16,841.992261904762,1106086
"동대문구","장안1동",2174,3118,3064,3282,11638,4409,20501,222,0,28,735.343869731801,1106087
"동대문구","장안2동",1859,2022,2208,2958,9047,3071,11503,136,0,27,1086.01935763889,1106088
"동대문구","이문1동",2479,2240,1185,985,6889,1191,6425,62,2,25,810.706495098039,1106089
"동대문구","이문2동",1391,1448,1146,1373,5358,688,2293,53,0,12,902.174637681159,1106090
"동대문구","답십리1동",1743,2274,2363,2914,9294,1971,8041,149,0,28,1085.2689119171,1106091
"중랑구","면목2동",1504,1912,1646,1675,6737,2062,6306,96,0,21,823.503546099291,1107052
"중랑구","면목4동",1099,1402,1254,1419,5174,1172,3839,55,0,13,849.181818181818,1107054
"중랑구","면목5동",750,1019,1164,1482,4415,830,3050,45,0,15,1650,1107055
"중랑구","면목7동",1256,1880,1769,1656,6561,1477,4335,104,0,17,1111.94308943089,1107057
"중랑구","상봉1동",1603,1971,1771,1878,7223,1171,6638,172,0,18,1336.48977272727,1107059
"중랑구","상봉2동",1292,2759,2363,1761,8175,2159,9306,133,0,16,1663.2377283105,1107060
"중랑구","중화1동",1161,1762,1638,1577,6138,1089,3590,141,0,15,827.514492753623,1107061
"중랑구","중화2동",1536,2235,1878,1821,7470,2111,6771,85,0,30,857.706023550725,1107062
"중랑구","묵1동",2283,2707,2343,2610,9943,1555,5736,191,0,32,1596.21875,1107064
"중랑구","묵2동",1089,1635,1557,1560,5841,1811,4688,60,0,19,1142.67459677419,1107065
"중랑구","망우3동",1058,1276,1050,1103,4487,1132,3746,62,0,11,1270.64523809524,1107068
"중랑구","신내1동",2324,2604,2274,2851,10053,2017,11518,141,0,48,1820.32820512821,1107069
"중랑구","신내2동",1159,1420,1347,1606,5532,1120,6468,96,0,22,1625.30952380952,1107070
"중랑구","면목본동",2155,3231,2780,2556,10722,2572,7681,242,0,29,950.330811403509,1107071
"중랑구","면목3.8동",1596,2219,1869,1758,7442,2123,7671,89,1,31,1338.56871345029,1107072
"중랑구","망우본동",1757,2458,2050,2058,8323,3827,12002,138,0,57,876.42578125,1107073
"성북구","돈암1동",1030,1051,992,987,4060,386,2116,79,0,10,743.485416666667,1108058
"성북구","돈암2동",1569,1452,1346,1698,6065,421,2477,74,0,29,993.357738095238,1108059
"성북구","안암동",2503,2578,1138,875,7094,1431,13406,72,1,33,923.96261682243,1108060
"성북구","보문동",1128,1580,1347,1280,5335,1294,5461,76,0,12,1829.04740740741,1108061
"성북구","정릉1동",1196,1114,1167,1478,4955,757,1976,75,0,14,747.130952380952,1108062
"성북구","정릉2동",1565,1686,1428,1732,6411,904,2961,90,0,53,787.995238095238,1108063
"성북구","정릉3동",1673,1503,1054,857,5087,717,4764,67,2,28,1133.11979166667,1108064
"성북구","정릉4동",1641,1629,1448,1840,6558,929,4131,92,0,35,805.066987179487,1108065
"성북구","길음1동",1918,1579,1721,2999,8217,1008,3921,112,0,31,2411.64583333333,1108066
"성북구","길음2동",1063,1065,1114,1419,4661,995,4816,73,0,22,602.01375,1108068
"성북구","월곡1동",1453,1592,1551,2045,6641,1361,5403,73,0,23,599.755555555555,1108071
"성북구","월곡2동",1693,1890,1378,1360,6321,1558,8951,86,0,36,1054.49398148148,1108072
"성북구","장위1동",1431,1604,1286,1202,5523,911,2263,68,0,33,2861.09286858974,1108076
"성북구","장위2동",891,1040,882,817,3630,1106,3218,60,0,29,436.44362745098,1108077
"성북구","장위3동",1057,1168,1122,1647,4994,597,2331,76,0,36,712.269444444444,1108078
"성북구","성북동",1248,1568,1310,1206,5332,1174,5315,72,0,51,1846.9869047619,1108081
"성북구","삼선동",2025,2253,1735,1604,7617,1834,8921,91,2,41,1455.54074074074,1108082
"성북구","동선동",2199,2293,1436,1079,7007,2037,9961,66,1,19,1490.39527027027,1108083
"성북구","종암동",2781,3057,2412,2824,11074,2034,8629,133,0,51,1171.405,1108084
"성북구","석관동",2297,2909,2424,2603,10233,2163,9984,137,1,31,1270.01083333333,1108085
"강북구","번1동",1381,1909,1456,1355,6101,1895,9633,91,0,26,519.299603174603,1109060
"강북구","번2동",1015,1195,827,982,4019,640,3657,42,0,36,616.707428622623,1109061
"강북구","번3동",990,950,784,964,3688,869,3147,36,0,35,262.141666666667,1109062
"강북구","수유1동",1309,1758,1403,1380,5850,1473,5349,107,0,41,723.774583333333,1109063
"강북구","수유2동",1405,1583,1240,1347,5575,1280,3797,53,0,16,954.921052631579,1109064
"강북구","수유3동",1759,2549,1755,1635,7698,2542,9146,75,0,23,605.191025641026,1109065
"강북구","삼양동",1539,1614,1405,1624,6182,1059,3509,88,0,35,396.012121212121,1109069
"강북구","미아동",1726,2139,1526,1373,6764,1740,6824,78,1,27,558.599502487562,1109070
"강북구","송중동",1908,2361,2006,2116,8391,2117,8611,116,0,59,683.484234234234,1109071
"강북구","송천동",1621,2074,1571,1716,6982,2041,7973,78,0,17,512.776785714286,1109072
"강북구","삼각산동",1878,1502,1525,2326,7231,782,2247,97,0,20,798.583333333333,1109073
"강북구","우이동",1259,1416,1238,1356,5269,1016,4252,72,0,39,551.653846153846,1109074
"강북구","인수동",1881,2223,1817,2030,7951,1560,5759,108,0,48,834.051388888889,1109075
