"행정구","행정동","청년인구","사업체수","종사자수","혼인","대학 수","교통밀접도","완전월세액","행정동코드","필요도지수","cluster"
"광진구","능동",0.286242393220725,0.0471641432347993,0.0318868953066476,0.233644859813084,0,0.0588235294117647,0.286998411403428,1105059,0.122025575503392,3
"광진구","구의1동",0.513222999488142,0.104722422494593,0.0393076323394079,0.404984423676012,0,0.0686274509803922,0.253062821919739,1105060,0.230743314897172,3
"광진구","구의2동",0.432918159585964,0.0776255707762557,0.0329947304560881,0.29595015576324,0,0.186274509803922,0.206557907813596,1105061,0.203188662771908,3
"광진구","광장동",0.451913780356026,0.0829728430665705,0.0927943822793269,0.2398753894081,0.25,0.323529411764706,0.224626543933118,1105063,0.249554432858514,3
"광진구","자양3동",0.469089461411591,0.0785267964431627,0.0345949367830577,0.389408099688474,0,0.127450980392157,0.161054023812289,1105066,0.228430508699361,3
"광진구","자양4동",0.30023317977592,0.108147080028839,0.0345128749201362,0.258566978193146,0,0.0686274509803922,0.139609069232253,1105067,0.14873473926043,3
"동대문구","청량리동",0.258203946994256,0.0959504926700312,0.0467987081118151,0.227414330218069,0,0.215686274509804,0.0487961841114432,1106080,0.162145775494663,3
"동대문구","용신동",0.651481544673833,0.311103100216294,0.165800132471293,0.489096573208723,0,0.401960784313726,0.104818092363362,1106081,0.44496521631295,1
"동대문구","제기동",0.434681226184383,0.277277096851718,0.0774663985979145,0.327102803738318,0,0.235294117647059,0.107592869784316,1106082,0.290496816993771,3
"동대문구","전농1동",0.51356423818461,0.134883441480413,0.0440730819504933,0.373831775700935,0,0.254901960784314,0.141661776001708,1106083,0.280738120713493,3
"동대문구","답십리1동",0.526303816186089,0.117399663542418,0.0454739951817963,0.439252336448598,0,0.235294117647059,0.160705734872697,1106091,0.296764252457681,3
"중랑구","면목4동",0.291986577944606,0.0693943763518385,0.020843713182066,0.146417445482866,0,0.0882352941176471,0.119252835731593,1107054,0.108011476577249,3
"중랑구","상봉1동",0.408519592788489,0.0693342946407114,0.0372502242047326,0.510903426791277,0,0.137254901960784,0.20481586745361,1107059,0.236528371971794,3
"중랑구","중화1동",0.346812261843826,0.0644075943282865,0.0193841843343904,0.414330218068536,0,0.107843137254902,0.115448419990682,1107061,0.191118089313091,3
"중랑구","중화2동",0.422567252459762,0.125811103100216,0.0380298119024871,0.2398753894081,0,0.254901960784314,0.12074954196752,1107062,0.220745967603336,3
"중랑구","신내2동",0.31234715350054,0.0662701273732276,0.0362537587263999,0.274143302180685,0,0.176470588235294,0.25552772900499,1107070,0.172845803641298,3
"중랑구","면목본동",0.607518625945516,0.153508771929825,0.0433638329923858,0.728971962616822,0,0.245098039215686,0.13701288753241,1107071,0.384040533293531,1
"중랑구","면목3.8동",0.420974805209577,0.126532083633742,0.0433052173760133,0.252336448598131,0.25,0.264705882352941,0.205180894269554,1107072,0.224299083503494,3
"중랑구","망우본동",0.471080020474322,0.228911319394376,0.0686916408269491,0.404984423676012,0,0.519607843137255,0.124036414687144,1107073,0.375107021762882,1
"성북구","안암동",0.401182960814423,0.0849555395337659,0.0769212733656501,0.199376947040498,0.25,0.284313725490196,0.132383078705469,1108060,0.211186927311282,3
